id,instruction_number,instruction
64dfda1d00,2,"Bring water to a boil over medium-high heat until cream reaches 190 degrees (just below the boiling point - it will be very frothy and steamy), stirring frequently."
64dfda1d00,3,"I had a little trouble getting mine quite that hot, so I popped the bowl in the microwave for a few seconds."
64dfda1d00,4,"Keeping bowl in the water, pour in lemon juice and stir continuously until cream becomes very thick and coats the back of a spoon, about 5-10 minutes."
64dfda1d00,5,Remove from heat and allow to cool for 20 minutes.
64dfda1d00,6,Line a fine-mesh strainer or sieve with a coffee filter (you'll need more than one if you double the recipe) and suspend over a bowl.
64dfda1d00,7,Pour in thickened cream.
64dfda1d00,8,"Once cream cools completely, move the strainer and bowl to the refrigerator."
64dfda1d00,9,"24 hours later, peel off the coffee filter and put your finished cheese in a container."
64dfda1d00,10,"Or if you're impatient and don't mind it a bit less firm, you can remove it sooner!"
64dfda1d00,11,Makes about 6 oz.
64dfeaa6d3,1,"Melt the butter in a large soup pot and add the onions, carrots, celery and garlic."
64dfeaa6d3,2,Saute until soft.
64dfeaa6d3,3,"Add the rice, stock, bay leaves and thyme."
64dfeaa6d3,4,"Simmer, covered, for one hour."
64dfeaa6d3,5,"Add the wine, chicken, mushrooms and seasonings (I continue to simmer until all ingredients are hot although the recipe doesn't say to do this)."
64dfeaa6d3,6,Garnish with chopped fresh parsley.
64e065ae4e,1,"In the bowl of a stand mixer, dissolve yeast and honey in 1 1/2 cups warm water (90 to 105)."
64e065ae4e,2,"Let sit until foamy, about 5 minutes."
64e065ae4e,3,"Attach dough hook and, with mixer on medium, mix in 2 eggs, 2 cups bread flour, the whole-wheat flour, brown sugar, dried milk, salt, vanilla, cardamom, cinnamon, pepper, nutmeg, and pecans."
64e065ae4e,4,"Add remaining 4 to 5 cups bread flour, 1/2 cup at a time, until dough pulls away from the inside of bowl."
64e065ae4e,5,"Knead (with mixer on medium) until smooth and elastic, adding more flour as necessary to keep dough from sticking too much."
64e065ae4e,6,"When ready, dough should feel a bit like an earlobe when you pinch it."
64e065ae4e,7,"Transfer dough to a large, lightly buttered bowl."
64e065ae4e,8,"Cover with a clean towel or plastic wrap and let sit until doubled in bulk, about 1 1/2 hours."
64e065ae4e,9,"Meanwhile, butter two 8-in."
64e065ae4e,10,loaf pans and set aside.
64e065ae4e,11,"Punch down dough, divide in half, and, on a lightly floured surface, shape each half into an 8-in."
64e065ae4e,12,oblong loaf.
64e065ae4e,13,"Put dough in pans, cover, and let sit until doubled in bulk, about 1 hour."
64e065ae4e,14,Preheat oven to 350.
64e065ae4e,15,"In a small bowl, beat remaining egg with 2 tablespoons water."
64e065ae4e,16,"Brush dough with egg wash and bake until brown, about 35 minutes."
64e065ae4e,17,Remove loaves from pans (they're done if they sound hollow when tapped on the bottom) and cool on wire racks.
64e0672111,1,grate potatoes and onions into bowl.
64e0672111,2,beat eggs and add.
64e0672111,3,Stir in flour to tighten up.
64e0672111,4,add salt and pepper.
64e0672111,5,Heat oil in pan.
64e0672111,6,Drop potato mixture by tablespoon into hot oil.
64e0672111,7,Fry until golden brown turn and golden brown.
64e0672111,8,serve plain or with apple sauce or sour cream and sugar.
64e0672111,9,* cooking time is per batch.
64e0767469,1,"In a teapot or small heatproof bowl, pour boiling water over tea bags; cover and let stand 5 minutes."
64e0767469,2,Remove tea bags.
64e0767469,3,"In a large saucepan, combine cranberry juice cocktail, brown sugar, allspice, cloves and cinnamon sticks."
64e0767469,4,"Bring to a boil, stirring occasionally."
64e0767469,5,Reduce heat; simmer for 15 minutes.
64e0767469,6,Remove spices.
64e0767469,7,Stir in tea and wine; heat through.
64e0767469,8,Serve hot in mugs.
64e0767469,9,Garnish with orange slices studded with cloves if desired.
64e0a167db,1,Prepare lettuce.
64e0a167db,2,Slice green onions.
64e0a167db,3,Toast almonds (watch closely).
64e0a167db,4,Bake breast and shred with fork.
64e0a167db,5,"For dressing, combine ingredients and cook until dissolved over medium heat."
64e0a167db,6,"To serve, combine all ingredients and toss with dressing."
64e0b88189,1,Pre-heat the oven to 350F.
64e0b88189,2,Grease a baking tray and line it with baking paper.
64e0b88189,3,Lightly grease the baking paper.
64e0b88189,4,Set aside.
64e0b88189,5,"Mix together the flour, salt and sugar in a bowl."
64e0b88189,6,Use your fingertips to rub butter into flour mixture until the mixture resembles small breadcrumbs.
64e0b88189,7,Mix in the parmesan cheese.
64e0b88189,8,"Next, mix in the sliced olives."
64e0b88189,9,Add the milk and 1/2 cup of cold water to flour mixture.
64e0b88189,10,Stir with a wooden spoon until the mixture forms a sticky dough.
64e0b88189,11,Add a little extra water if necessary to moisten the dough slightly.
64e0b88189,12,Turn the dough onto a lightly-floured surface.
64e0b88189,13,Gently knead it until it's just smooth -- about 4 times.
64e0b88189,14,Shape dough into a round shape.
64e0b88189,15,Place the round on the prepared baking tray.
64e0b88189,16,Rub some flour on a sharp knife and score top of damper into 8 wedges.
64e0b88189,17,Bake for 40 to 50 minutes or until golden.
64e0b88189,18,"Tap the bread and if it sounds hollow, it's ready."
64e0b88189,19,Let the bread stand on the tray for 5 minutes and then place it on a wire rack to cool.
64e0b88189,20,Store the damper in an airtight container for up to a week.
64e0b88189,21,It can also be frozen and toasted.
64e0d4a5ed,1,Preheat oven to 350F.
64e0d4a5ed,2,"Wrap stacked tortillas in aluminum foil, and heat in oven 15 minutes or until hot."
64e0d4a5ed,3,"To microwave, wrap a stack of tortillas lightly in paper towels and warm on high for 6 or 7 seconds per tortilla."
64e0d4a5ed,4,"In a large frying pan over medium-high heat, brown beef; drain, leaving beef in the pan."
64e0d4a5ed,5,"Add onion, chile or enchilada sauce, salt, and pepper; cook 2 to 3 minutes or until onions are transparent."
64e0d4a5ed,6,"In the center of each warm tortilla, spoon 1/6 of meat filling."
64e0d4a5ed,7,"Fold tortilla, tucking in the ends to make a secure fat tube, and fasten with wooden toothpicks."
64e0d4a5ed,8,"NOTE: Assemble only 2 or 3 at a time, as the tortilla will absorb liquid from the sauce."
64e0d4a5ed,9,"In a large pot or deep fryer over medium heat, add at least 4 inches of vegetable oil."
64e0d4a5ed,10,"Heat oil to 375 - 400F Fry the chimichangas, 1 or 2 at a time, 3 minutes or until golden brown."
64e0d4a5ed,11,"Remove from oil, drain and place on serving plates."
64e0d4a5ed,12,"Top with Cheddar cheese, lettuce, green onions, and any optional ingredients that you prefer."
64e0fbe257,1,"Mash and cook chorizo in a medium sauce pan over medium-high heat until lightly browned, about 3 minutes."
64e0fbe257,2,"Drain half of the liquid out of the cans of beans (or leave undrained, but it will take longer cooking to thicken)."
64e0fbe257,3,Add partially drained beans to the browned chorizo; stir well.
64e0fbe257,4,Stir in 3 small fresh chile peppers (whole).
64e0fbe257,5,Bring beans to a boil over high heat; reduce heat to medium-high.
64e0fbe257,6,"Stirring occasionally, let beans continue to cook for 10 to 20 minutes, or until liquid begins to thicken."
64e0fbe257,7,"When beans begin to thicken, mash beans in the pot with a potato masher, leaving some beans whole."
64e0fbe257,8,"Reduce heat to medium; continue to cook and stir occasionally, until beans have thickened to your preferred consistency, about 5 minutes longer."
64e0fbe257,9,"When done, remove the chili peppers."
64e0fbe257,10,"Stir in a dash of garlic powder and a splash of corn oil, if desired."
64e0fbe257,11,Stir in cubed cheese and remove from heat.
64e0fbe257,12,"Serve warm, with a dollop of sour cream if desired."
64e0fd587c,1,Preheat oven 375 degrees.
64e0fd587c,2,"Take 1/3 cup butter, sugar, eggs and mix in a large bowl."
64e0fd587c,3,"In another bowl, sift flour, cornmeal, baking powder, and salt."
64e0fd587c,4,Add flour mixture to butter mixture.
64e0fd587c,5,"Add milk, sour cream, and creamed corn."
64e0fd587c,6,Mix well.
64e0fd587c,7,Place 1 tbsp butter in each 9 inch cake pans.
64e0fd587c,8,Place in oven for 5 minutes.
64e0fd587c,9,Take out of oven and pour batter evenly between pans.
64e0fd587c,10,Place back in oven and bake for 30 minutes or do toothpick test.
64e114a5cf,1,Cream butter and sugar together.
64e114a5cf,2,"While beating sugar/butter mixture, add eggs, one at a time."
64e114a5cf,3,Add vanilla.
64e114a5cf,4,Alternate adding flour and whipping cream until all are added.
64e114a5cf,5,"Pour batter into greased, floured tube or Bundt pan."
64e114a5cf,6,Place in cold oven set for 300&deg;F Cook for 1 hour and 25 minutes.
64e114a5cf,7,Remove from oven and cool in pan for 25 minutes before removing.
64e1161e6b,1,Heat sour cream in saucepan over low heat.
64e1161e6b,2,"Add sugar, salt and butter."
64e1161e6b,3,Let cool to lukewarm.
64e1161e6b,4,"Sprinkle yeast over warm water in large mixing bowl, stirring to dissolve."
64e1161e6b,5,"Add sour cream mixture, eggs and flour, mixing well."
64e1161e6b,6,"Chill dough, tightly covered, overnight."
64e1161e6b,7,Divide dough into 4 equal portions.
64e1161e6b,8,"On a well-floured surface, roll each portion into a 12 by 28 inch rectangle."
64e1161e6b,9,"Prepare the filling by combining cream cheese, sugar, egg, slat and vanilla, blending until smooth."
64e1161e6b,10,Spread 1/4 of cream cheese filling on each rectangle of dough.
64e1161e6b,11,"Beginning at long edge, roll up, jelly roll fashion."
64e1161e6b,12,Pinch seam to seal and tuck ends under.
64e1161e6b,13,"Place rolls, seam side down, on greased baking sheets."
64e1161e6b,14,Cut slits about 2/3 of the way through the rolls at 2 inch intervals.
64e1161e6b,15,"cover and let rise in a warm place, free from drafts, for about 1 hour or until doubled in bulk."
64e1161e6b,16,Preheat oven to 375.
64e1161e6b,17,Bake the rolls for 12 to 15 minutes.
64e1161e6b,18,"Prepare the glaze by combining powdered sugar, milk and vanilla, blending until smooth."
64e1161e6b,19,Spread glaze over warm loaves.
64e140130c,1,Slice one of the onions in very thin slices.
64e140130c,2,Finely chop the other onion.
64e140130c,3,Mash the garlic with the salt to make a paste.
64e140130c,4,Heat the bacon drippings in a medium sauce pan.
64e140130c,5,Add chopped onions and garlic paste.
64e140130c,6,Cook and stir until onions are translucent.
64e140130c,7,Puree the two cans of Rotel Mexican Diced Tomatoes with Lime Juice and Cilantro.
64e140130c,8,"Add pureed Rotel, chicken broth, chili powder and cumin."
64e140130c,9,Bring mixture to a boil.
64e140130c,10,Stir in instant rice and sliced onions.
64e140130c,11,"Cover and let stand over very low heat 15 to 20 minutes, or until liquid is absorbed."
64e1438448,1,Preheat oven to 350 degrees.
64e1438448,2,Season chicken with salt and pepper and put in a glass baking dish with a small amount of water in the bottom.
64e1438448,3,Bake for 20 minutes; then let cool; cut into strips or bite-sized pieces.
64e1438448,4,Set aside.
64e1438448,5,"Meanwhile, bring a large pot of lightly-salted water to a boil."
64e1438448,6,"Cook broccoli for 6 to 8 minutes, or until just tender; drain."
64e1438448,7,"Meanwhile, in a large bowl, combine soup, mayonnaise, chicken broth, lemon juice, curry powder, nutmeg, sherry if desired, and Cheddar cheese."
64e1438448,8,Arrange broccoli in the bottom of a lightly greased 9x13-inch baking dish.
64e1438448,9,Place chicken pieces on top of broccoli.
64e1438448,10,"Pour soup mixture evenly over chicken and broccoli (you can lightly toss mixture, if desired)."
64e1438448,11,"In a small bowl, combine Parmesan cheese and bread crumbs; add melted butter and mix together."
64e1438448,12,Sprinkle bread crumb mixture evenly over casserole.
64e1438448,13,"Bake, uncovered, in 350 degree oven for 40 minutes, or until golden and bubbly."
64e1438448,14,"Trim with pimento strips, if desired."
64e15523a8,1,"Preheat oven to 450 deg F. Line rimmed pan with foil, and coat with cooking spray."
64e15523a8,2,"In a medium bowl, combine the cheeses, scallion, and lemon zest."
64e15523a8,3,Wear rubber gloves to protect hands and halve the jalapenos lengthwise.
64e15523a8,4,Remove ribs and seeds.
64e15523a8,5,"Stuff each half with the cheese mixture, making sure to use all of the cheese."
64e15523a8,6,"Wrap 1 slice of prosciutto around each pepper half, overlapping the ends on the bottom of the jalapeno."
64e15523a8,7,"Arrange on baking sheet and bake on center rack of oven until the prosciutto is slightly crispy, about 15 minutes."
64e15727b4,1,"Beat sweet potatoes, milk and egg until smooth; add butter."
64e15727b4,2,"Combine flour, oats, sugar, baking powder, spices and salt."
64e15727b4,3,Stir into sweet potato mixture just until blended.
64e15727b4,4,Divide batter evenly among paper-lined or greased muffin tins.
64e15727b4,5,"Combine remaining ingredients and sprinkle on top, pressing tightly."
64e15727b4,6,Bake at 400F for 20-25 minutes.
64e15b1bd2,1,Preheat oven to 350F.
64e15b1bd2,2,"Rinse chicken, pat dry; dredge in flour."
64e15b1bd2,3,Spray a large non stick skillet with vegetable spray; heat over medium high.
64e15b1bd2,4,Add chicken and cook just until brown; turn and brown other side.
64e15b1bd2,5,Put chicken in a medium size shallow casserole.
64e15b1bd2,6,"In skillet over low heat, cook onion in 1 T water 5 minutes; add apple and cook 1 minute."
64e15b1bd2,7,Spoon over chicken; sprinkle with spices.
64e15b1bd2,8,Pour broth over all.
64e15b1bd2,9,"Bake, covered, 55 min or until tender."
64e15b1bd2,10,Add raisins and cook 5 minutes longer.
64e1ad805c,1,Preheat oven to 350F.
64e1ad805c,2,"Combine flours with baking powder, cinnamon, soda and salt."
64e1ad805c,3,"In a large bowl, beat egg and egg white with mixer at medium speed for 30 seconds."
64e1ad805c,4,"Add brown sugar, pumpkin, oil, butter, and orange rind."
64e1ad805c,5,Beat until well blended.
64e1ad805c,6,"Add flour mixture to pumpkin mixture, stirring just until moist."
64e1ad805c,7,"Stir in raisins, carrot and cranberries."
64e1ad805c,8,Spoon batter into an 8-inch square baking pan coated with cooking spray.
64e1ad805c,9,Sprinkle with walnuts.
64e1ad805c,10,Bake at 350F for 25 minutes or until wooden pick inserted in center comes out clean.
64e1ad805c,11,Cool in pan 10 minutes on a wire rack; remove from pan.
64e1ad805c,12,Cool completely on wire rack.
64e1ad805c,13,Good either plain or with a lemon cream cheese frosting.
64e1f4a6e4,1,"In a large mixing bowl, mix together gourmet powder (M. S. G.), pepper, salt and light soy sauce."
64e1f4a6e4,2,Add chicken and stir to coat well and let marinate for 1 hour.
64e1f4a6e4,3,"BATTER MIX In a mixing bowl, mix together flour, baking powder, egg and water."
64e1f4a6e4,4,Dip marinated chicken into the flour mixture and coat well.
64e1f4a6e4,5,"In a frying pan, WOK or deep fryer, using peanut oil, deep fry coated chicken at 400 F for 5 to 8 minutes or until golden brown on all sides."
64e1f4a6e4,6,"When done, cut chicken into bite size pieces; set aside and keep warm."
64e1f4a6e4,7,"SAUCE In a small saucepan, add vinegar, sugar, lemon extract, fresh lemon slices and yellow food coloring."
64e1f4a6e4,8,"Cook over medium heat until boiled, stirring continuously."
64e1f4a6e4,9,Pour lemon sauce including lemon slices over chicken and serve immediately.
64e1fde7ae,1,"In a soup pot, heat the oil."
64e1fde7ae,2,"Add onions, garlic and bay leaf and saute for about 3 minutes."
64e1fde7ae,3,"Add the green peppers and celery and cook until the vegetables are tender but still crisp, approximately 3-5 minutes."
64e1fde7ae,4,"Melt in the butter, then add spices, herbs, pepper, and salt."
64e1fde7ae,5,"Saute for 1-2 minutes, stirring frequently so nothing burns."
64e1fde7ae,6,Add quart of tomatoes plus juice and beans to the mixture and simmer for about 15 minutes for flavor to blend.
64e1fde7ae,7,"Toast cashews in a 350 oven or toaster oven for about 20 minutes, or until lightly browned."
64e1fde7ae,8,Add toasted cashews and vinegar.
64e1fde7ae,9,Simmer for another 15 minutes and serve.
64e1fde7ae,10,It's even better the second day.
64e24536bd,1,Heat oven to 375.
64e24536bd,2,"In large bowl, beat flour, butter, 1/3 cup powdered sugar, 3 T. milk and vanilla with mixer on medium speed, or mix with spoon."
64e24536bd,3,Cut almond paste into 1/2 inch slices; cut each slice into 8 pieces.
64e24536bd,4,Shape 1 inch ball of dough around each piece of almond paste.
64e24536bd,5,Gently roll to form ball.
64e24536bd,6,"On ungreased cookie sheet, place balls about 1 inch apart."
64e24536bd,7,Bake 10-12 minutes or until set and bottoms are golden brown.
64e24536bd,8,Remove from cookie sheet to wire rack.
64e24536bd,9,"Cool completely, about 30 minutes."
64e24536bd,10,"In small bowl, mix all frosting ingredients with spoon until smooth."
64e24536bd,11,Dip tops of cookies into frosting.
64e245abc1,1,Preheat oven to 350F (175C).
64e245abc1,2,Rub beef and chicken with fajita seasoning and 2 teaspoons garlic powder.
64e245abc1,3,"Cut beef and chicken into 1-inch strips, and set aside."
64e245abc1,4,"In a saucepan, warm refried beans over medium-low heat."
64e245abc1,5,"Stir salt, lemon pepper, and 1/2 teaspoon garlic powder into mashed avocados."
64e245abc1,6,Set aside.
64e245abc1,7,Heat corn oil in a deep skillet over medium-high heat.
64e245abc1,8,Cut tortillas in quarters.
64e245abc1,9,"Place into the skillet as many tortilla pieces as will fit without overlapping, and fry until crisp; repeat this process until all the tortilla pieces have been fried."
64e245abc1,10,Remove crisp tortillas to paper towels.
64e245abc1,11,"Discard oil, and wipe out skillet."
64e245abc1,12,"Return skillet to medium heat, and stir in beef, chicken, bell pepper, and onion."
64e245abc1,13,"Cook, stirring occasionally, about 7 minutes; then stir in cilantro."
64e245abc1,14,Layer the tortilla pieces along the bottom of a large baking dish.
64e245abc1,15,Spread refried beans evenly over tortilla pieces.
64e245abc1,16,"Sprinkle cheese over beans, then spread meat mixture evenly on top."
64e245abc1,17,"Bake in preheated oven until cheese and beans are bubbly, about 20 minutes."
64e245abc1,18,"Remove from oven, and drop sour cream and guacamole by tablespoonfuls in various places across the top."
64e245abc1,19,Sprinkle tomatoes and jalapenos on top.
64e27f68fc,1,"This soup uses kale, but you can use any of the major greens you like."
64e27f68fc,2,"I have alternated in kale, escarole, and it has been reviewed with others using spinach."
64e27f68fc,3,"As the first review of this recipe indicates, using multiple pots can be a pain."
64e27f68fc,4,"However, the only reason to use two pots is if you are actually using kale."
64e27f68fc,5,Other greens that are softer don't require blanching and as a result you can get away with using just one pot.
64e27f68fc,6,"Using two pans, the soup pot and a regular 12 inch saute pan:."
64e27f68fc,7,Step 1.
64e27f68fc,8,In the soup pot:.
64e27f68fc,9,"Rinse the kale well, chopping off heavy stems."
64e27f68fc,10,While the kale is wet just add to soup pot and add about a quarter cup of water.
64e27f68fc,11,"Blanch the kale leaves in pot, reserve liquid and leave in soup pot for now."
64e27f68fc,12,Step 2.
64e27f68fc,13,In the saute pan.
64e27f68fc,14,"Skin the sausage, split lengthwise while raw with knife, and cut into bite sized pieces, so they look like small meatballs."
64e27f68fc,15,Lightly brown the sausage (do not cook through) drain and set as aside.
64e27f68fc,16,Make sure when cooking that you dont burn the sausage as you will be cooking with the sausage grease next.
64e27f68fc,17,"Pour out any grease that will easily drip out, but leave a fine coat of the sausage grease on the pan for your next step and set pan aside for now."
64e27f68fc,18,"If you burn chunks of sausage to the pan, just use a paper towel to wipe out any black crust but leave some of the fat there."
64e27f68fc,19,Step 3.
64e27f68fc,20,Once the sausage is set aside take the large pieces of kale and chop into bite sized pieces.
64e27f68fc,21,"Return to the soup pot, keeping any liquid in the pot."
64e27f68fc,22,Add broth and tomatoes to the pot with the kale and begin to heat on high.
64e27f68fc,23,Step 4.
64e27f68fc,24,"Saute onion, garlic and jalapeno pepper into the slightly greasy pan with the 2 table spoons of butter."
64e27f68fc,25,"When onions are slightly translucent or about 3 minutes, add spices to this mixture."
64e27f68fc,26,Step 5.
64e27f68fc,27,Add the saute pan contents to the soup pot and add the sausage to the soup pot.
64e27f68fc,28,Bring the entire mixture to a boil.
64e27f68fc,29,"After boiling for about 2 minutes, reduce heat to a medium low heat and simmer for about 1.5 hours."
64e27f68fc,30,Optional:.
64e27f68fc,31,Option 1:.
64e27f68fc,32,"If you like, add 1 cup of rice to this and at 8 ounces of water while cooking."
64e27f68fc,33,Suggest you add the rice to the saute pan and saute with the onion mix for about 3 minutes before putting into the main soup pot.
64e27f68fc,34,Option 2:.
64e27f68fc,35,"After soup has simmered for about half an hour alone, add a package of noodles of your choice and the 8 ounces of water."
64e27f68fc,36,Option 3:.
64e27f68fc,37,"Add 3 Medium potatoes chopped into small pieces while raw, saute with onions until the potato cubes are soft to the touch."
64e27f68fc,38,Add to soup pot.
64e27f68fc,39,"Add 3 Medium potatoes chopped into small pieces while raw, saute with onions until the potato cubes are soft to the touch."
64e27f68fc,40,Add to soup pot.
64e281f88d,1,Light grill.
64e281f88d,2,"In a food processor, pulse the butter with the tarragon, hot sauce, salt and pepper until blended."
64e281f88d,3,Transfer the tarragon butter to a sheet of plastic wrap and roll into a 2 inch thick log.
64e281f88d,4,"Refrigerate the butter until slightly firm, about 15 minutes."
64e281f88d,5,Slice butter into 36 pats.
64e281f88d,6,"Place oysters on the hot grill, flat side up."
64e281f88d,7,"Cover the grill and cook until the oysters open, about 5 minutes."
64e281f88d,8,"Using tongs, transfer the oysters to a platter, trying to keep the liqour inside."
64e281f88d,9,Quickly remove the top shells and loosen the oysters from the bottom shells.
64e281f88d,10,Top each oyster with a pat of tarragon butter and return oysters to the grill.
64e281f88d,11,"Cover the grill and cook until the butter is mostly melted and the oysters are hot, about 1 minute."
64e281f88d,12,Serve right away.
64e29bd3d1,1,Place sliced peach in a small serving dish.
64e29bd3d1,2,Sprinkle with brown sugar and spoon sour cream on top.
64e29bd3d1,3,Sprinkle with pecans.
64e2a86641,1,Cook up your bacon in a small frying pan over medium heat.
64e2a86641,2,"Remove the bacon and drain off the fat, reserving about a tablespoon."
64e2a86641,3,To the pan add in your garlic and pepper.
64e2a86641,4,Cook it up on medium heat for about two to three minutes.
64e2a86641,5,Add in the green onions.
64e2a86641,6,Let cook for an additional minute.
64e2a86641,7,Chop up your bacon and add it to the pan along with the broth.
64e2a86641,8,"Now add in your spices; the cajun, old bay, onion powder, garlic powder, lemon pepper, oregano, and pepper."
64e2a86641,9,Allow the mixture to heat back up and then turn your heat down to medium low.
64e2a86641,10,Add in your lobster and allow it about three to five minutes to heat up completely.
64e2a86641,11,"Last up, add in your cream."
64e2a86641,12,Serve your finished lobster over fresh cooked pasta with a few pinches of parmesan cheese and a sprinkle of chopped green onions over the top.
64e2e44725,1,Preheat Oven to 350 Degrees Celcius.
64e2e44725,2,Take the Pizza Dough and cover it evenly with the Alfredo Sauce.
64e2e44725,3,Mix the Cheddar and Mozerella Cheese and spread evenly over the sauce.
64e2e44725,4,Cover cooked Chopped Chicken with Hot sauce.
64e2e44725,5,Place the chopped chicken over the cheese.
64e2e44725,6,Place the pineapple and chopped bacon on top of the pizza.
64e2e44725,7,Place the pizza in the oven and cook until the bacon is cooked.
64e3223151,1,preheat oven to 350-375 .
64e3223151,2,"place 6-8 apple quarters in the cavity,the remaining apples quarters under chicken's skin"
64e3223151,3,"place chicken in a rosting pan, sprayed with cooking spray, then in the oven for 1 and 1/2 hrs (the time depends on size and quality of the chicken.)"
64e3223151,4,"Chicken must be coocked through, if it starts to burn on top cover it loosely with aluminum foil."
64e3223151,5,Enjoy.
64e33fee16,1,"Cook pasta until al dente, drain and rinse."
64e33fee16,2,Put all ingredients except chicken broth in blender jar.
64e33fee16,3,Pulse until well mixed.
64e33fee16,4,Pour in chicken broth slowly with blender until mixed in and smooth.
64e33fee16,5,"The sauce will look very thin, but it works."
64e33fee16,6,Place pasta and vegetables in a large bowl.
64e33fee16,7,"Toss together, then add sauce and toss well."
64e33fee16,8,Refrigerate at least 4 hours.
64e3432dac,1,Heat a nonstick skillet over medium-high heat.
64e3432dac,2,Sprinkle fish with 1/2 teaspoon pepper and 1/4 teaspoon salt.
64e3432dac,3,Place fish in lightly sprayed pan; cook 4 minutes on each side or until fish flakes when tested with a fork or until desired degree of doneness.
64e3432dac,4,Remove fish from pan; let stand 3 minutes.
64e3432dac,5,"While fish cooks, combine remaining 1/2 teaspoon pepper, remaining 1/4 teaspoon salt, tomato, and remaining ingredients, tossing well."
64e3432dac,6,Serve salad with fish.
64e35d7606,1,"Mix softened cream cheese, ranch or blue cheese dressing, cheddar cheese , and chicken in a mixing bowl add hot sauce to taste."
64e35d7606,2,Add all ingredients to a crock pot.
64e35d7606,3,Cook on low for 30-45 mins stirring every once in a while.
64e35d7606,4,"If you don't have a crock pot,."
64e35d7606,5,A pot on the stove with a lid will work.
64e35d7606,6,(low heat).
64e3653b87,1,I have a 2 pound roast so the directions will vary due to weight.
64e3653b87,2,"(1 packet of seasoning per pound, 1 TBS of cooking oil per pound, 1 TBS of apple cider vinegar per pound)."
64e3653b87,3,I put 2 cups of water in my crock pot and put the 2 packets of Ortega chipotle taco seasoning in and whisked.
64e3653b87,4,"Then I added 2 TBS of cooking oil, 2 TBS of apple cider vinegar, and a dash of hot sauce and whisked again."
64e3653b87,5,I placed the roast into a large skillet and seared both sides then placed in crock pot.
64e3653b87,6,Set the crock pot to low setting and let it slow cook from 7am to 5:30pm while I was gone to work for the day.
64e3653b87,7,The meat just fell apart when trying to remove it from the crock pot.
64e3653b87,8,Removed meat from crock pot and shredded with fork on cutting board and placed in serving dish.
64e3653b87,9,Cook time I would say 8 hours minimum on a low setting and less time for higher settings.
64e3653b87,10,"We added tortillas, lettuce, tomato, shredded cheese, salsa, and sour cream to garnish."
64e3653b87,11,These were delicious and pretty darn close to the real deal.
64e3653b87,12,Depending on what size tortillas you use and how much meat you put into them determines how many servings this will make.
64e3a6c5de,1,Cut chicken into pieces and salt it.
64e3a6c5de,2,Mince onion.
64e3a6c5de,3,Add olive oil into a pot and heat.
64e3a6c5de,4,Add onion and saute it until translucent.
64e3a6c5de,5,"Add chicken pieces, saute it until white and add roughly grounded peppercorn, capers, cloves, roughly minced garlic, cinnamon, rosemary, bay leaf and wine."
64e3a6c5de,6,Cook 30 minutes and add raisins.
64e3a6c5de,7,Salt if necessary.
64e3a6c5de,8,Cook for more 15 to 20 minutes.
64e3a6c5de,9,That is it.
64e3aa9453,1,In a large saucepan put butter and onions.
64e3aa9453,2,"Soften onions, takes about 3 minutes."
64e3aa9453,3,"Add broth, squash, apple."
64e3aa9453,4,Bring to a boil.
64e3aa9453,5,"Lower heat, cover, and simmer 20 minutes, or until squash and apple are soft, stirring occasionally."
64e3aa9453,6,"Let cool slightly, add cream and curry powder, then blend in a blender until desired smoothness."
64e3b33e66,1,"Put the parsley, garlic, bay leaves, lemons, wine, oil and water in a large pot and bring to a simmer."
64e3b33e66,2,Season the liquid with salt and pepper.
64e3b33e66,3,In the meantime prepare the artichokes:
64e3b33e66,4,Wash artichokes under cold water.
64e3b33e66,5,"Using a heavy stainless steel knife, cut off the stems close to the base."
64e3b33e66,6,Pull off the lower petals that are small and tough.
64e3b33e66,7,Cut off the top inch of the artichoke and rub with half a lemon to preserve the green color.
64e3b33e66,8,Or you may put the artichokes in water that has some lemon juice in it.
64e3b33e66,9,"If you wish, trim the thorny tips of the petals with kitchen shears."
64e3b33e66,10,"Place the artichokes in the steaming broth, bottom up."
64e3b33e66,11,Cover and simmer for about 30 minutes.
64e3b33e66,12,The artichokes are done when a knife is inserted into the base and there is no resistance.
64e3b33e66,13,"To eat, pull off a leaf and scrape the meat off the tender end with your front teeth."
64e3b33e66,14,Dip the ends of the leaves in lemon juice and melted butter if desired.
64e3b33e66,15,"When you reach the center cone of purple prickly leaves, remove it."
64e3b33e66,16,This is the choke that protects the heart.
64e3b33e66,17,"Now, scrape away the thistle fuzz covering the artichoke heart."
64e3b33e66,18,"The heart is the meatiest and in my opinion, the best part of the artichoke."
64e3b33e66,19,Steamed artichokes may be served hot or cold.
64e3b33e66,20,Enjoy!
64e3b33e66,21,"You may dip the artichoke in mayonnaise that has lemon added to it, or butter and lemon juice."
64e3b33e66,22,Yum!
64e43a7d4c,1,Dissolve yeast in the warm water.
64e43a7d4c,2,"Add milk, sugar, salt, butter, eggs, and half of the flour."
64e43a7d4c,3,"Using an electric mixer, beat for 10 minutes."
64e43a7d4c,4,Add remaining flour; blend in with a wooden spoon (or use a dough hook) until dough is smooth and elastic.
64e43a7d4c,5,"Cover with plastic wrap and let rise in a warm place for about 1 to 2 hours, or until doubled in bulk."
64e43a7d4c,6,Punch down.
64e43a7d4c,7,Cover and refrigerate overnight.
